,id,name,cluster,similarity,num,status,kind
952,a217aff9-ba06-4c8c-9880-c7a4c46810ae,Introduce new TaskTable and TaskRow components for the reimagined inbox,155,0.7740860270094192,744,Done,github_pr
953,9VQI7vStSiKOmD3YFS242Q,initial commit and prop declaration,-1,,1098,Done,github_pr
954,11d8ee95-973c-4dd6-8dc4-f46adec08e61,Modifying rust code triggers the dependencies docker layer to rebuild,-1,,219,Done,
955,9e602c52-ba50-4771-9713-d8f004d457d3,Remove extraneous autofocus props,-1,,439,Done,github_pr
956,5ec41ccb-4e09-4cca-8645-1e5f725180a3,Tweak eslint config to avoid parsing error on .svelte.ts files,177,0.8894079230615934,523,Done,github_pr
957,f68389f1-6e73-40ef-8ea4-fcec62a692df,Protocol Improvements,100,0.8736616678142775,16,Done,
958,586642d0-0a16-41b6-a09f-09bdf3ac1a0c,Update all dependencies,223,1.0000000000000002,348,Done,github_pr
959,1270e16a-832b-45ee-a371-417879fe76ed,Delete button that deletes the entire subtree,-1,,90,Done,
960,b720edd8-e3fe-47ca-a7f7-891910f63182,Square off buttons to look more like JoyUI,-1,,497,Done,github_pr
961,bbd40341-a096-44a3-97fb-933ef8f8c1cb,Migrate UserSelect component over to Kosui Menu,269,0.880043721700708,568,Done,github_pr
962,c90f1df5-c1c7-4272-b232-109ec79a62fd,Add commands to the command palette to toggle the theme,153,0.8444790521865553,232,Done,
963,120819f4-8380-4228-b211-99f671dddeae,Check for keys after blocking on a concurrent load,-1,,961,Done,github_pr
964,aaaa762d-930c-49a4-8bba-970d0de75426,Put sharing feature behind premium flag,41,0.7139424405192062,831,Done,
965,660e1b42-a0c4-4023-b2e5-8137a9ce244f,Log error messages on healthz check failure,89,0.9721893953311723,370,Done,github_pr
966,8e6c8326-18cc-4865-b028-da50b83445f3,Clicking to edit a task causes the view port to jump to top of page,-1,,42,Done,
967,Z6ClqesCS8aHjyM6KyWz8A,Add issuer to notifier claims,3,0.8828940629875748,1148,Done,github_pr
968,3263baec-8da5-46a0-8e60-2fdbc11b8a6d,koso-833: Fix hard to click expand / collapse button,184,0.9524111982065,834,Done,github_pr
969,5eb5c82d-a81e-4e5d-8269-0caad0b824e9,Add Yrs proxies for all interactions with the YGraph,-1,,289,Done,
970,b6bd4949-0a40-4c4a-9b16-fc86170cfb19,Refactor Menu to use a Svelte context,256,0.9025063031126394,661,Done,github_pr
971,aAqpXRQGSMm-eTd5BZ9jvA,Flip price to the live account,-1,,1069,Done,github_pr
972,a2d4c40c-f7b1-4ad3-80de-91d6c12509ba,Add a new 'input' to dialoguer to allow inputs of various types,-1,,987,Done,github_pr
973,6260f032-b01b-41c8-9dd9-94d1da7a0a85,Promote Shortcut and Shortcut badge to Kosui component,-1,,496,Done,github_pr
974,189e5a98-4372-4cf8-a766-18251faeec01,Bump the npm-deps group across 2 directories with 6 updates,249,0.9951075364522262,430,Done,github_pr
975,9NIgIQVVRMiZmHLgNIEDig,Delete the semver check,14,0.7072842011883994,1247,Done,github_pr
976,yaHB1uexQUamLwL-1fyv-g,Try unifying versions to make downcast work,59,0.7792575397428624,1210,Done,github_pr
977,ee8bbc86-bbf4-45ec-9fd3-23a808c3d013,Shortcuts should have a short name and a long name,-1,,274,Done,
978,bdeb9a13-f645-439b-9aa1-bd1ccd89c380,Plugin to read tasks out of GitHub (checkout Tsugi for reference),-1,,93,Done,
979,fc22c581-00cc-481c-8ebb-2aa34d1713e7,Improve environment variable defaults,47,0.8953055472829514,469,Done,github_pr
980,10166524-3386-4b0a-beba-3b0624534b67,Data Source Plugin,-1,,290,,
981,956ee345-8354-4cc3-a6f9-11aaeb09b7f0,Action buttons should be visible even when table is scrolled,44,0.873052186085306,48,Done,
982,bb1da839-266d-4f09-a190-32e220048746,Clickable tags don't work,97,0.872212317180343,276,Done,
983,zOLSPKSkQcGA6mT17Hx16g,Configure Renovate - autoclosed,122,0.9999999999999994,1154,Done,github_pr
984,11f59951-2c98-41c1-94b4-a724d265e2b7,Client poller,33,0.8847724753399103,271,Done,
